countryIsoCode,country,year,value
AFG,Afghanistan,2010,0.707
AFG,Afghanistan,2019,0.676
AGO,Angola,2010,0.554
AGO,Angola,2019,0.533
ALB,Albania,2010,0.192
ALB,Albania,2019,0.131
ARE,United Arab Emirates,2010,0.177
ARE,United Arab Emirates,2019,0.045
ARG,Argentina,2010,0.372
ARG,Argentina,2019,0.291
ARM,Armenia,2010,0.346
ARM,Armenia,2019,0.219
AUS,Australia,2010,0.136
AUS,Australia,2019,0.08
AUT,Austria,2010,0.11
AUT,Austria,2019,0.053
AZE,Azerbaijan,2010,0.342
AZE,Azerbaijan,2019,0.317
BDI,Burundi,2010,0.535
BDI,Burundi,2019,0.499
BEL,Belgium,2010,0.092
BEL,Belgium,2019,0.048
BEN,Benin,2010,0.636
BEN,Benin,2019,0.652
BFA,Burkina Faso,2010,0.602
BFA,Burkina Faso,2019,0.594
BGD,Bangladesh,2010,0.602
BGD,Bangladesh,2019,0.521
BGR,Bulgaria,2010,0.229
BGR,Bulgaria,2019,0.205
BHR,Bahrain,2010,0.259
BHR,Bahrain,2019,0.194
BHS,Bahamas,2010,0.369
BHS,Bahamas,2019,0.335
BIH,Bosnia and Herzegovina,2010,0.215
BIH,Bosnia and Herzegovina,2019,0.146
BLR,Belarus,2010,0.148
BLR,Belarus,2019,0.098
BLZ,Belize,2010,0.407
BLZ,Belize,2019,0.46
BOL,Bolivia (Plurinational State of),2010,0.477
BOL,Bolivia (Plurinational State of),2019,0.426
BRA,Brazil,2010,0.448
BRA,Brazil,2019,0.396
BRB,Barbados,2010,0.35
BRB,Barbados,2019,0.309
BRN,Brunei Darussalam,2019,0.285
BTN,Bhutan,2010,0.476
BTN,Bhutan,2019,0.332
BWA,Botswana,2010,0.502
BWA,Botswana,2019,0.458
CAN,Canada,2010,0.139
CAN,Canada,2019,0.075
CHE,Switzerland,2010,0.057
CHE,Switzerland,2019,0.018
CHL,Chile,2010,0.351
CHL,Chile,2019,0.214
CHN,China,2010,0.247
CHN,China,2019,0.187
CIV,Côte d'Ivoire,2010,0.639
CIV,Côte d'Ivoire,2019,0.623
CMR,Cameroon,2010,0.62
CMR,Cameroon,2019,0.564
COD,Congo (Democratic Republic of the),2010,0.66
COD,Congo (Democratic Republic of the),2019,0.618
COG,Congo,2010,0.618
COG,Congo,2019,0.589
COL,Colombia,2010,0.452
COL,Colombia,2019,0.408
CPV,Cabo Verde,2019,0.353
CRI,Costa Rica,2010,0.318
CRI,Costa Rica,2019,0.239
CUB,Cuba,2010,0.333
CUB,Cuba,2019,0.307
CYP,Cyprus,2010,0.191
CYP,Cyprus,2019,0.235
CZE,Czechia,2010,0.139
CZE,Czechia,2019,0.124
DEU,Germany,2010,0.096
DEU,Germany,2019,0.079
DNK,Denmark,2010,0.049
DNK,Denmark,2019,0.016
DOM,Dominican Republic,2010,0.488
DOM,Dominican Republic,2019,0.448
DZA,Algeria,2010,0.517
DZA,Algeria,2019,0.397
ECU,Ecuador,2010,0.431
ECU,Ecuador,2019,0.387
EGY,Egypt,2010,0.547
EGY,Egypt,2019,0.418
ESP,Spain,2010,0.105
ESP,Spain,2019,0.056
EST,Estonia,2010,0.159
EST,Estonia,2019,0.092
ETH,Ethiopia,2010,0.599
ETH,Ethiopia,2019,0.506
FIN,Finland,2010,0.071
FIN,Finland,2019,0.031
FJI,Fiji,2010,0.405
FJI,Fiji,2019,0.337
FRA,France,2010,0.129
FRA,France,2019,0.086
GAB,Gabon,2010,0.52
GAB,Gabon,2019,0.527
GBR,United Kingdom,2010,0.179
GBR,United Kingdom,2019,0.106
GEO,Georgia,2010,0.432
GEO,Georgia,2019,0.3
GHA,Ghana,2010,0.57
GHA,Ghana,2019,0.517
GIN,Guinea,2019,0.628
GMB,Gambia,2010,0.66
GMB,Gambia,2019,0.587
GNB,Guinea-Bissau,2019,0.635
GRC,Greece,2010,0.153
GRC,Greece,2019,0.122
GTM,Guatemala,2010,0.539
GTM,Guatemala,2019,0.495
GUY,Guyana,2019,0.433
HND,Honduras,2010,0.467
HND,Honduras,2019,0.43
HRV,Croatia,2010,0.136
HRV,Croatia,2019,0.119
HTI,Haiti,2010,0.608
HTI,Haiti,2019,0.624
HUN,Hungary,2010,0.251
HUN,Hungary,2019,0.239
IDN,Indonesia,2010,0.497
IDN,Indonesia,2019,0.45
IND,India,2010,0.563
IND,India,2019,0.476
IRL,Ireland,2010,0.163
IRL,Ireland,2019,0.079
IRN,Iran (Islamic Republic of),2010,0.546
IRN,Iran (Islamic Republic of),2019,0.464
IRQ,Iraq,2010,0.602
IRQ,Iraq,2019,0.572
ISL,Iceland,2010,0.092
ISL,Iceland,2019,0.051
ISR,Israel,2010,0.145
ISR,Israel,2019,0.098
ITA,Italy,2010,0.123
ITA,Italy,2019,0.054
JAM,Jamaica,2010,0.428
JAM,Jamaica,2019,0.376
JOR,Jordan,2010,0.487
JOR,Jordan,2019,0.45
JPN,Japan,2010,0.117
JPN,Japan,2019,0.083
KAZ,Kazakhstan,2010,0.266
KAZ,Kazakhstan,2019,0.19
KEN,Kenya,2010,0.603
KEN,Kenya,2019,0.541
KGZ,Kyrgyzstan,2010,0.363
KGZ,Kyrgyzstan,2019,0.354
KHM,Cambodia,2010,0.514
KHM,Cambodia,2019,0.492
KOR,Korea (Republic of),2010,0.095
KOR,Korea (Republic of),2019,0.075
KWT,Kuwait,2010,0.209
KWT,Kuwait,2019,0.225
LAO,Lao People's Democratic Republic,2010,0.533
LAO,Lao People's Democratic Republic,2019,0.472
LBN,Lebanon,2010,0.432
LBN,Lebanon,2019,0.386
LBR,Liberia,2010,0.66
LBR,Liberia,2019,0.653
LBY,Libya,2010,0.286
LBY,Libya,2019,0.269
LCA,Saint Lucia,2010,0.363
LCA,Saint Lucia,2019,0.355
